LDGS_NM,CTPRVN_NM,GUGUN_NM,CFR_LDGS_LIST_CN,ONE_QUARTER_AVRG_PRC,TWO_QUARTER_AVRG_PRC,GSRM_CO,PRKPLCE_EXST_AT,RSTRNT_EXST_AT,BAR_AT,CAFE_HOLD_AT,FITNES_CNTER_AT,OUTDOOR_POOL_AT,SPA_AT,SAUNA_AT,BNQTHL_AT,BSINES_CNTER_AT,BEACH_AT
아르반 호텔,부산,부산진구,"솔라리아 니시테츠 부산, 부산 비즈니스 호텔, 토요코인 부산서면, 이비스 앰배서더 부산 씨티 센터, 라이온호텔, 사우스반데코 호텔, 티티호텔, trt hotel, 부산 서면 퀸스호텔, 부산 서면 넘버25 서면1번가점, 부산 범천동 하운드 서면 범천, 부산 서면 사우스반데코 호텔, 부산 서면 넘버25 서면역점, 시티호텔 지앤지, 어반스테이 서면, 브라운도트 서면 1호점, 호텔 J7",122124,142181,94,Y,N,Y,Y,N,N,Y,Y,N,Y,N
솔라리아 니시테츠 부산,부산,부산진구,"아르반 호텔, 부산 비즈니스 호텔, 아바니 센트럴 부산, 토요코인 부산서면, 라이온호텔, 사우스반데코 호텔, 티티호텔, trt hotel, 부산 서면 퀸스호텔, 부산 서면 넘버25 서면1번가점, 부산 범천동 하운드 서면 범천, 부산 서면 사우스반데코 호텔, 부산 서면 넘버25 서면역점, 시티호텔 지앤지, 어반스테이 서면, 브라운도트 서면 1호점, 호텔 J7",99610,129463,203,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
부산 비즈니스 호텔,부산,부산진구,"아르반 호텔, 솔라리아 니시테츠 부산, 토요코인 부산서면, 이비스 앰배서더 부산 씨티 센터, 라이온호텔, 사우스반데코 호텔, 티티호텔, trt hotel, 부산 서면 퀸스호텔, 부산 서면 넘버25 서면1번가점, 부산 서면 사우스반데코 호텔, 부산 서면 넘버25 서면역점, 시티호텔 지앤지, 어반스테이 서면, 브라운도트 서면 1호점, 호텔 J7",88977,109462,233,Y,Y,Y,Y,N,N,N,N,Y,Y,N
스탠포드 인 부산,부산,중구,"라발스 호텔 부산, 베이하운드호텔, 부산관광호텔, 브로시스 호텔, 타워힐 호텔, 호텔 포레 프리미어 남포, 지앤비 호텔, 호텔 아벤트리 부산, 남포 오션투헤븐 호텔 스파, 커넥트 부산 호텔, 하운드 호텔 프리미어 남포, 센트럴파크 호텔 부산, 더하운드호텔, 남포 스테이웰 호텔, 호텔 아델라, 그리핀베이, 어반스테이 부티크 521",93403,113091,132,Y,Y,Y,Y,N,N,N,N,Y,Y,N
크라운 하버호텔 부산,부산,중구,"라마다 앙코르 바이 윈덤 부산역, 부산관광호텔, 토요코인부산역Ⅱ, 토요코인 부산역1, 타워힐 호텔, 코모도호텔 부산, 커넥트 부산 호텔, 노떼 라 미아, 센트럴파크 호텔 부산, 더하운드호텔, 부산역 호텔 아몬드",110962,128077,500,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N
라마다 앙코르 바이 윈덤 부산역,부산,동구,"크라운 하버호텔 부산, 토요코인부산역Ⅱ, 광장관광호텔, 토요코인 부산역1, 코모도호텔 부산, 아스티호텔 부산역, 하운드 호텔 부산역, 노떼 라 미아, 부산역 호텔 아몬드, 르 컬렉티브 부산역",113487,134167,446,Y,Y,Y,Y,Y,N,N,N,Y,Y,N
센텀 프리미어 호텔,부산,해운대구,"해운대 센텀 호텔, 부산 센텀 스위트호텔",127166,162929,603,Y,Y,Y,Y,Y,N,N,N,Y,Y,N
베니키아 호텔 해운대,부산,해운대구,"베스트웨스턴 해운대 호텔, 페어필드 바이 메리어트 부산, 이비스 앰배서더 부산 해운대, 펠릭스 바이 STX 호텔 & 스위트, 신라스테이 해운대, 코오롱 씨클라우드 호텔, 리베로호텔 (구 호텔리베라해운대), 제이비디자인호텔, 토요코인부산해운대2, 호텔롯데 시그니엘 부산, 미포오션사이드호텔, 그랜드 엘시티 레지던스, 엘시티 레지던스, 라마다 앙코르 해운대, 베스트 루이스 해밀턴 해운대, 엘리시아 호텔, 해운대 썬클라우드 호텔, 해운대 영무파라드호텔, 그랜드 조선 부산, 엘시티 레지던스 와이컬렉션, 유에이치스위트해운대, 광수 호텔, 하운드가든&테라스호텔, 해운대 베이몬드 호텔, 코오롱 씨클라우드 (호텔), 신라스테이 해운대 (호텔), 라마다 앙코르 해운대 (호텔), 해운대 씨클라우드 호텔 앤 레지던스, 해운대 썬클라우드 호텔",97813,116067,166,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y
베스트웨스턴 해운대 호텔,부산,해운대구,"베니키아 호텔 해운대, 페어필드 바이 메리어트 부산, 이비스 버젯 앰배서더 부산 해운대, 이비스 앰배서더 부산 해운대, 펠릭스 바이 STX 호텔 & 스위트, 신라스테이 해운대, 코오롱 씨클라우드 호텔, 리베로호텔 (구 호텔리베라해운대), 제이비디자인호텔, 토요코인부산해운대2, 호텔롯데 시그니엘 부산, 미포오션사이드호텔, 그랜드 엘시티 레지던스, 엘시티 레지던스, 라마다 앙코르 해운대, 베스트 루이스 해밀턴 해운대, 해운대 더반호텔 스마트, 엘리시아 호텔, 해운대 썬클라우드 호텔, 해운대 영무파라드호텔, 그랜드 조선 부산, 엘시티 레지던스 와이컬렉션, 유에이치스위트해운대, 광수 호텔, 하운드가든&테라스호텔, 해운대 베이몬드 호텔, 코오롱 씨클라우드 (호텔), 신라스테이 해운대 (호텔), 라마다 앙코르 해운대 (호텔), 해운대 씨클라우드 호텔 앤 레지던스, 해운대 썬클라우드 호텔, 캔버스 호스텔",86162,116846,134,Y,N,Y,N,N,N,N,N,Y,Y,Y
페어필드 바이 메리어트 부산,부산,해운대구,"베니키아 호텔 해운대, 베스트웨스턴 해운대 호텔, 이비스 버젯 앰배서더 부산 해운대, 이비스 앰배서더 부산 해운대, 펠릭스 바이 STX 호텔 & 스위트, 신라스테이 해운대, 코오롱 씨클라우드 호텔, 리베로호텔 (구 호텔리베라해운대), 제이비디자인호텔, 토요코인부산해운대2, 호텔롯데 시그니엘 부산, 미포오션사이드호텔, 그랜드 엘시티 레지던스, 엘시티 레지던스, 라마다 앙코르 해운대, 베스트 루이스 해밀턴 해운대, 엘리시아 호텔, 해운대 썬클라우드 호텔, 해운대 영무파라드호텔, 그랜드 조선 부산, 엘시티 레지던스 와이컬렉션, 유에이치스위트해운대, 광수 호텔, 하운드가든&테라스호텔, 해운대 베이몬드 호텔, 코오롱 씨클라우드 (호텔), 신라스테이 해운대 (호텔), 라마다 앙코르 해운대 (호텔), 해운대 씨클라우드 호텔 앤 레지던스, 해운대 썬클라우드 호텔",106781,123418,223,Y,Y,N,Y,Y,N,N,N,Y,Y,Y
